file_name,TP,FP,FN,Precision,Recall,CD,TP_0,FP_0,FN_0,TP_1,FP_1,FN_1,TP_2,FP_2,FN_2,TP_3,FP_3,FN_3,TP_edges,FP_edges,FN_edges,Precision_edges,Recall_edges,gt_int_length_MAE,gt_int_length_MSE,gt_int_length_RMSE,gt_int_length_MAPE,gt_ph_angle_MAE,gt_ph_angle_MSE,gt_ph_angle_RMSE,gt_ph_angle_MAPE,gt_br_angle_MAE,gt_br_angle_MSE,gt_br_angle_RMSE,gt_br_angle_MAPE
Harvest_01_PotNr_80,66,8,17,0.8918918918918919,0.7951807228915663,0.01312596062457338,8,0,0,27,0,4,28,0,10,3,0,3,59,14,23,0,0,0.0034935438454107527,1.7140109828927672e-05,0.004140061573084109,6.787825041820767,13.22031075112883,294.5078086152674,17.16122981068861,5.8628743077977346,5.592683059161747,37.23713173321069,6.1022235073135995,8.645187121893342
Harvest_01_PotNr_95,74,10,2,0.8809523809523809,0.9736842105263158,0.0074080758927303775,8,0,0,34,0,1,32,0,0,0,0,1,71,12,4,0,0,0.002854258768331864,1.0838072958168009e-05,0.0032921228649866654,4.357945963370082,24.667542511943832,899.2612072517171,29.987684259570912,11.020980486299507,8.714224130409384,110.42329762483455,10.508249027541865,18.695045221386007
Harvest_01_PotNr_145,72,20,13,0.782608695652174,0.8470588235294118,0.010808436154273671,9,0,1,30,0,2,32,0,6,1,0,4,68,23,16,0,0,0.010801892239918608,0.0002224370252314873,0.014914322821753836,15.666923869462442,19.80923531536078,914.7682345411841,30.245135717023725,9.379620367519228,18.672836245652576,688.7785036813287,26.2445899888211,42.79834957880405
Harvest_01_PotNr_179,68,12,8,0.85,0.8947368421052632,0.009846229711072747,10,0,1,28,0,3,30,0,4,0,0,0,64,15,11,0,0,,,,,,,,,,,,
Harvest_01_PotNr_256,68,53,9,0.5619834710743802,0.8831168831168831,0.017053757473394042,11,0,1,32,0,3,25,0,5,0,0,0,64,56,12,0,0,0.0031432981297262303,1.5092462691578152e-05,0.0038849018895691758,8.539778097655827,,,,,,,,
Harvest_01_PotNr_293,65,15,13,0.8125,0.8333333333333334,0.0181697158218026,5,0,4,31,0,5,29,0,4,0,0,0,61,18,16,0,0,,,,,,,,,,,,
Harvest_01_PotNr_373,83,11,20,0.8829787234042553,0.8058252427184466,0.008863776283061063,8,0,0,36,0,4,38,0,8,1,0,8,77,16,25,0,0,0.0043545650948290425,2.1150410061725074e-05,0.004598957497273167,6.197275221868918,16.3386629798759,516.4260388008584,22.725009104527512,11.114748674079845,10.083734771967231,155.3383867773158,12.463482128896235,19.83888748192087
Harvest_01_PotNr_429,58,13,9,0.8169014084507042,0.8656716417910447,0.010739254605972273,7,0,2,25,0,3,26,0,3,0,0,1,52,18,14,0,0,0.005383024732940664,8.690448315919476e-05,0.009322257406829891,13.356998334024443,63.069776928680696,8851.741358813746,94.0836933735796,46.269875409475645,12.182826263990094,235.43757526450676,15.343975210632568,25.07192056586113
Harvest_01_PotNr_463,47,13,2,0.7833333333333333,0.9591836734693877,0.009372295662833846,8,0,0,20,0,1,19,0,1,0,0,0,44,15,4,0,0,,,,,,,,,,,,
Harvest_01_PotNr_521,58,20,11,0.7435897435897436,0.8405797101449275,0.022096597579605765,9,0,1,25,0,5,24,0,5,0,0,0,54,23,14,0,0,0.009061212068888677,0.00017982658140720996,0.013409943378225351,14.792953698259554,57.83592806889785,7485.926476112102,86.52124869713856,25.028856747394915,8.456796330280392,138.31778172169757,11.760858035096655,11.526494470390446
Harvest_02_PotNr_135,81,27,9,0.75,0.9,0.011348402200520392,11,0,0,34,0,3,31,0,4,5,0,2,73,34,16,0,0,0.0030660250500595884,1.872311419574045e-05,0.004327021399963311,4.9910991127634,,,,,,,,
Harvest_02_PotNr_237,85,80,6,0.5151515151515151,0.9340659340659341,0.019793620994721574,11,0,0,39,0,2,34,0,3,1,0,1,83,81,7,0,0,,,,,,,,,,,,
Harvest_03_PotNr_74,119,18,23,0.8686131386861314,0.8380281690140845,0.012034219523038965,9,0,0,47,0,4,55,0,11,8,0,8,110,26,31,0,0,0.00526888526731149,4.078349015822943e-05,0.006386195280308098,6.283628042394991,,,,,,,,
Harvest_03_PotNr_407,73,41,5,0.6403508771929824,0.9358974358974359,0.014536688952020444,10,0,0,36,0,0,27,0,4,0,0,1,71,42,6,0,0,0.014989071943327398,0.0009053460320941871,0.030088968611339723,19.859479794526727,,,,,2.6197865501245303,8.980955094002665,2.9968241680156456,3.0881389069538705
