x,y,z,parentid,vid,edgetype
0.15866191446028466,0.18711710794297237,0.11610183299389015,0,1,<
0.1552822299651571,0.21466202090592337,0.11083449477351921,0,2,<
0.15868421052631548,0.1784839537869065,0.1465667522464698,0,3,<
0.025024390243902444,0.1525853658536585,0.6757926829268299,2,91,<
0.15010296411856472,0.23781123244929828,0.14824492979719206,3,4,+
0.156234159779614,0.18411019283746585,0.1851910009182737,3,5,<
0.1456599443671769,0.17009874826147492,0.5561105702364396,3,6,+
0.14711000000000005,0.17469166666666647,0.50776,4,1,<
0.13720646319569113,0.14739497307001806,0.5656947935368046,4,89,+
0.14723086734693802,0.17173596938775565,0.6002869897959165,4,90,+
0.16672570194384417,0.17802807775377982,0.6135723542116626,6,7,<
0.18672473118279595,0.18436559139784936,0.6357075268817217,6,8,+
0.1453265306122452,0.1684645858343331,0.6459123649459781,6,9,+
0.13509107468123835,0.1652477231329689,0.6851693989071043,7,27,<
0.1843528846153848,0.16365673076923082,0.6506730769230746,8,21,<
0.20966618705035986,0.19342446043165476,0.6544762589928057,9,10,<
0.23690336134453766,0.20268067226890735,0.6520189075630248,10,11,<
0.26531719128329373,0.21253510895883787,0.6520024213075053,10,12,+
0.3043395872420261,0.22211069418386492,0.634996247654785,11,14,+
0.17418301225919425,0.156908931698774,0.6531155866900185,11,15,<
0.17906910569105652,0.145484552845528,0.6481780487804846,12,13,<
0.13038311688311682,0.12323701298701298,0.5884756493506499,14,19,<
0.12082687338501288,0.09497545219638236,0.6082545219638256,15,16,<
0.11548591549295775,0.0681408450704224,0.6079911971831002,16,17,<
0.14715489130434806,0.09617663043478258,0.627247282608696,17,18,<
0.11092316384180764,0.035519774011299465,0.6105288135593253,19,20,+
0.09182832618025759,0.0375450643776824,0.6210364806866943,21,22,<
0.13612778429073874,0.19062954279015246,0.48292497069167717,22,23,<
0.14826452119309427,0.17379199372056583,0.4530855572998428,22,24,+
0.11427473583093176,0.21760518731988415,0.5138328530259381,23,25,<
0.09970374707259959,0.2419976580796251,0.5331920374707261,25,26,+
0.08300748502994011,0.2618368263473055,0.5365568862275448,27,28,+
0.08372047244094477,0.2251850393700784,0.5544291338582682,27,29,+
0.12513793103448273,0.25059386973180053,0.5541724137931039,28,38,<
0.0652911795961744,0.28681934112646096,0.5458575982996787,29,30,<
0.09593141592920358,0.30989159292035345,0.5529004424778756,30,31,<
0.044211726384364824,0.27840390879478805,0.5631840390879487,30,32,+
0.051551546391752495,0.30690206185567026,0.5468556701030914,30,33,+
0.14864711359404187,0.1705037243947851,0.40941061452513905,31,34,<
0.15245319634703097,0.16903881278538851,0.37171232876712146,34,35,+
0.1500381830151422,0.17184397630019763,0.33632587228439714,34,36,+
0.17716053511705704,0.16140468227424776,0.38551170568561854,34,37,<
0.20252363184079583,0.15277985074626813,0.4042014925373113,38,39,<
0.23182796892341798,0.14588013318534954,0.41677802441731393,39,40,<
0.2548660130718955,0.13931535947712465,0.4127843137254895,39,41,+
0.23800999999999983,0.16167666666666672,0.43322000000000005,40,54,<
0.22786084905660398,0.11857783018867918,0.4396792452830186,41,42,<
0.2415118110236219,0.18318897637795292,0.4543464566929124,42,43,<
0.2772136752136752,0.12834045584045603,0.4036709401709384,43,44,<
0.290979238754325,0.13579008073817747,0.3984302191464819,43,45,+
0.27890750436300166,0.10600698080279247,0.4176736474694591,43,46,+
0.27602061855670157,0.07227216494845366,0.430490721649485,44,48,<
0.31729356568364686,0.12258310991957108,0.38145040214477266,45,47,<
0.2919437340153448,0.16615728900255744,0.4063491048593335,48,49,<
0.14506868131868073,0.17487637362637384,0.30614354395604537,48,50,+
0.130763694951665,0.16492051557465082,0.28082814178302934,49,52,<
0.21494736842105255,0.14629824561403507,0.28947368421052627,49,53,+
0.14781038374717836,0.16988337095560538,0.2766463506395792,50,51,<
0.11324561403508748,0.14534941520467845,0.2985453216374273,54,55,<
0.09294524959742369,0.13242512077294685,0.31582930756843797,54,56,+
0.07387240356083066,0.11640059347181005,0.31843224530168335,55,57,+
0.09947919463087243,0.11912885906040281,0.3320926174496645,55,58,+
0.08098755186721977,0.14678423236514535,0.33934854771784245,57,71,+
0.07014137214137216,0.1684844074844073,0.3528752598752595,58,59,<
0.11300245098039216,0.10611764705882332,0.34374019607843187,59,60,<
0.045932489451476655,0.1006362869198312,0.3228995780590718,59,61,+
0.05714380530973451,0.0740862831858407,0.3272234513274343,59,62,<
0.031132921174652155,0.11626893353941263,0.35538485316846957,60,65,<
0.029529126213592258,0.08941262135922312,0.33735922330097057,61,64,<
0.07034366197183098,0.052371830985915524,0.33427323943662024,62,63,<
0.08135019455252913,0.030194552529182874,0.3379455252918287,65,66,+
0.15218626430801258,0.17663267429760676,0.24390530697190455,65,67,+
0.1532914728682172,0.1806651162790698,0.21519069767441878,66,69,<
0.15990397672162954,0.19398351115421916,0.22889136760426698,67,68,+
0.1731941605839414,0.21149343065693438,0.24553722627737273,69,70,<
0.18713200498132032,0.2322079701120799,0.26882938978829446,71,72,<
0.20029729729729714,0.2513798798798798,0.2790810810810819,72,5,<
0.21323052959501565,0.2204797507788161,0.28766355140186867,72,73,+
0.16836867469879518,0.23447228915662718,0.29360722891566293,73,74,<
0.20860314341846709,0.2703546168958735,0.2926532416502947,74,75,<
0.22988482384823827,0.27100135501354994,0.2967696476964763,75,76,<
0.1805615514333898,0.27774704890387836,0.3210472175379424,75,77,+
0.2517954545454546,0.2581041666666666,0.3027556818181824,75,78,+
0.22669272976680352,0.28982990397805186,0.30458024691358115,76,79,<
0.23413087248322126,0.30924664429530163,0.31121476510067136,79,80,+
0.24327653213751874,0.3282451420029899,0.3286666666666662,79,81,+
0.25680093312597274,0.3397760497667185,0.3270326594090198,80,82,<
0.24842857142857147,0.28378571428571425,0.3602142857142857,80,83,+
0.27780743243243256,0.24867905405405402,0.3069493243243244,82,88,<
0.1273807692307693,0.23852692307692272,0.15212307692307708,83,84,<
0.15402033271719057,0.2533696857670981,0.18722550831793017,84,85,<
0.17255373134328336,0.14855223880597015,0.15959701492537326,85,86,<
0.18720733104238266,0.1201260022909509,0.1864879725085911,85,87,+
0.2070269430051811,0.10044145077720211,0.2033658031088088,91,92,<
0.16852830188679238,0.11604245283018862,0.2078726415094339,92,93,<
0.2367954545454543,0.11642500000000028,0.21153863636363712,92,94,+
0.21092034313725533,0.07627941176470592,0.2212904411764707,93,95,+
0.18351959114139677,0.06665587734241897,0.22594718909710396,93,96,<
0.23396860282574558,0.05801098901098917,0.24335478806907435,96,97,+
0.23339770114942493,0.035367816091954024,0.25973103448275925,96,98,<
,,,98,99,<
