x,y,z,parentid,vid,edgetype
0.17497117145447555,0.1910653660070532,0.11463547641952367,0.0,1.0,<
0.17721010380004465,0.19179917480245537,0.11800000000000001,1.0,2.0,<
0.1779415959288821,0.19420082519754475,0.122,2.0,3.0,<
0.17800000000000005,0.1949415959288821,0.126,3.0,4.0,<
0.17800000000000005,0.19500000000000003,0.13,4.0,5.0,<
0.17800000000000005,0.195058404071118,0.134,5.0,6.0,<
0.1779415959288821,0.19579917480245532,0.138,6.0,7.0,<
0.17719378388810167,0.19820082519754478,0.14200000000000002,7.0,8.0,<
0.1746224471367774,0.19894721762064715,0.146,8.0,9.0,<
0.1700513627616749,0.199058404071118,0.146,8.0,10.0,+
0.17719378388810167,0.19900000000000007,0.15000000000000002,9.0,11.0,<
0.166,0.19979917480245535,0.14654835910013234,10.0,12.0,<
0.1779415959288821,0.19894159592888214,0.154,11.0,13.0,<
0.162,0.2022592292686627,0.14945164089986768,12.0,14.0,<
0.17800000000000005,0.19820082519754478,0.15800000000000003,13.0,15.0,<
0.15800000000000003,0.20374077073133742,0.15054835910013234,14.0,16.0,<
0.17805840407111798,0.19585757887357327,0.162,15.0,17.0,<
0.15400000000000003,0.20620082519754476,0.154,16.0,18.0,<
0.17879917480245533,0.1958575788735733,0.16600000000000004,17.0,19.0,<
0.15000000000000002,0.20700000000000005,0.15800000000000003,18.0,20.0,<
0.1811424211264268,0.19820082519754478,0.17,19.0,21.0,<
0.14600000000000005,0.20779917480245533,0.162,20.0,22.0,<
0.1811424211264268,0.1989415959288821,0.17400000000000002,21.0,23.0,<
0.14200000000000002,0.21020082519754474,0.16600000000000004,22.0,24.0,<
0.17879917480245533,0.19900000000000007,0.17800000000000002,23.0,25.0,<
0.138,0.21100000000000005,0.17,24.0,26.0,<
0.17805840407111798,0.19900000000000007,0.18200000000000005,25.0,27.0,<
0.134,0.21179917480245536,0.17400000000000002,26.0,28.0,<
0.17805840407111798,0.199058404071118,0.18600000000000003,27.0,29.0,<
0.13000000000000003,0.21420082519754474,0.1774516408998677,28.0,30.0,<
0.17879917480245533,0.19979917480245535,0.19000000000000006,29.0,31.0,<
0.126,0.21494159592888212,0.17854835910013236,30.0,32.0,<
0.18120082519754477,0.20220082519754476,0.19400000000000003,31.0,33.0,<
0.12200000000000001,0.2150000000000001,0.18200000000000005,32.0,34.0,<
0.18194159592888212,0.20294159592888214,0.19800000000000006,33.0,35.0,<
0.11805840407111798,0.21505840407111804,0.18600000000000003,34.0,36.0,<
0.18200000000000008,0.2030000000000001,0.20200000000000004,35.0,37.0,<
0.11479917480245534,0.21579917480245536,0.19000000000000006,36.0,38.0,<
0.18200000000000008,0.2030000000000001,0.206,37.0,39.0,<
0.11325218795921958,0.21820082519754475,0.19400000000000003,38.0,40.0,<
0.18200000000000008,0.2030000000000001,0.21,39.0,41.0,<
0.1106224471367774,0.21894721762064714,0.19800000000000004,40.0,42.0,<
0.18200000000000008,0.2030000000000001,0.214,41.0,43.0,<
0.10605136276167487,0.21900000000000003,0.19800000000000006,41.0,44.0,+
0.11325218795921958,0.21900000000000003,0.20200000000000004,42.0,45.0,<
0.182058404071118,0.20305840407111803,0.21800000000000003,43.0,46.0,<
0.10194863723832515,0.21894863723832517,0.19854835910013238,44.0,47.0,<
0.11479917480245531,0.21900000000000003,0.206,45.0,48.0,<
0.18280621611189846,0.2038575788735733,0.222,46.0,49.0,<
0.0973247704838697,0.21832477048386972,0.20199999999999999,47.0,50.0,<
0.1179907213975001,0.21900000000000003,0.21,48.0,51.0,<
0.18537755286322263,0.20694721762064713,0.22648224785076126,49.0,52.0,+
0.09480621611189838,0.2149486372383252,0.202,49.0,53.0,<
0.09394863723832514,0.21974781204078042,0.206,50.0,54.0,<
0.12096346253847122,0.219,0.21336452358047633,51.0,55.0,+
0.18280621611189846,0.20700000000000002,0.23,51.0,56.0,<
0.1899486372383252,0.20934324632397153,0.2294516408998677,52.0,57.0,<
0.09405840407111794,0.21100000000000008,0.202,53.0,58.0,<
0.09,0.22220082519754472,0.21,55.0,59.0,<
0.182058404071118,0.20700000000000002,0.23400000000000004,56.0,60.0,<
0.19400000000000003,0.2077407707313374,0.23,57.0,61.0,<
0.09394159592888206,0.20700000000000005,0.202,58.0,62.0,<
0.086,0.22294159592888207,0.214,59.0,63.0,<
0.18194159592888212,0.20700000000000002,0.238,60.0,64.0,<
0.19800000000000006,0.20705840407111797,0.23,61.0,65.0,<
0.0932008251975447,0.20300000000000007,0.202,62.0,66.0,<
0.082,0.22300000000000003,0.21800000000000003,63.0,67.0,<
0.18120082519754477,0.20700000000000002,0.24200000000000002,64.0,68.0,<
0.20200000000000004,0.20700000000000002,0.23054835910013236,65.0,69.0,<
0.09079917480245529,0.19900000000000007,0.202,66.0,70.0,<
0.07800000000000001,0.22300000000000003,0.222,67.0,71.0,<
0.17879917480245533,0.20700000000000002,0.246,68.0,72.0,<
0.20600000000000002,0.20700000000000002,0.2334516408998677,69.0,73.0,<
0.09005840407111794,0.19500000000000006,0.202,70.0,74.0,<
0.07400000000000004,0.22300000000000003,0.22600000000000003,71.0,75.0,<
0.17805840407111798,0.20700000000000002,0.25,72.0,76.0,<
0.21000000000000002,0.20700000000000002,0.23454835910013236,73.0,77.0,<
0.08994159592888205,0.19100000000000003,0.202,74.0,78.0,<
0.07005136276167488,0.22310272552334975,0.23,75.0,79.0,<
0.17800000000000005,0.20700000000000002,0.25400000000000006,76.0,80.0,<
0.214,0.20700000000000002,0.238,77.0,81.0,<
0.0892008251975447,0.18700000000000006,0.202,78.0,82.0,<
0.06672801189548322,0.22429767665290778,0.2344822478507613,79.0,83.0,<
0.17800000000000005,0.20700000000000002,0.25800000000000006,80.0,84.0,<
0.21800000000000003,0.20700000000000002,0.24145164089986768,81.0,85.0,<
0.0867991748024553,0.18300000000000005,0.202,82.0,86.0,<
0.062,0.22549029329955297,0.23690328179973533,82.0,87.0,+
0.07005136276167488,0.22630355072089448,0.238,83.0,88.0,<
0.17800000000000005,0.20700000000000002,0.262,84.0,89.0,<
0.222,0.20705840407111797,0.24254835910013237,85.0,90.0,<
0.08605840407111796,0.17906768267361786,0.202,86.0,91.0,<
0.0572719881045168,0.22429767665290767,0.23496449570152256,87.0,92.0,<
0.07400000000000002,0.22779917480245535,0.24200000000000002,88.0,93.0,<
0.17800000000000005,0.20700000000000002,0.26600000000000007,89.0,94.0,<
0.22600000000000003,0.20779917480245533,0.246,90.0,95.0,<
0.086,0.17603653746152878,0.20199999999999999,91.0,96.0,<
0.05394863723832515,0.22224514664977654,0.23400000000000004,91.0,97.0,+
0.05394863723832515,0.22710272552334973,0.238,92.0,98.0,<
0.078,0.23100000000000004,0.246,93.0,99.0,<
0.17800000000000005,0.20700000000000002,0.2700000000000001,94.0,100.0,<
0.23,0.21020082519754474,0.25,96.0,101.0,<
0.05000000000000002,0.21900000000000006,0.23400000000000004,97.0,102.0,<
0.05000000000000002,0.23094159592888208,0.24200000000000002,98.0,103.0,<
0.08194159592888207,0.2342008251975447,0.25,99.0,104.0,<
0.17800000000000005,0.20700000000000002,0.2740000000000001,100.0,105.0,<
0.23400000000000007,0.2109415959288821,0.2534516408998677,101.0,106.0,<
0.046000000000000006,0.21579917480245533,0.23400000000000004,102.0,107.0,<
0.046000000000000006,0.23414242112642678,0.246,103.0,108.0,<
0.08520082519754472,0.23574077073133734,0.25400000000000006,104.0,109.0,<
0.17800000000000005,0.20705840407111797,0.278,105.0,110.0,<
0.238,0.21100000000000008,0.25454835910013235,106.0,111.0,<
0.042000000000000016,0.21420082519754474,0.23400000000000004,107.0,112.0,<
0.042000000000000016,0.235,0.24945164089986768,108.0,113.0,<
0.08674077073133735,0.2382008251975447,0.25800000000000006,109.0,114.0,<
0.17800000000000005,0.20779917480245533,0.28200000000000003,110.0,115.0,<
0.24200000000000002,0.21100000000000008,0.25800000000000006,111.0,116.0,<
0.03800000000000001,0.2109415959288821,0.2334516408998677,112.0,117.0,<
0.03800000000000001,0.2357991748024553,0.25054835910013235,113.0,118.0,<
0.08925922926866264,0.23900000000000002,0.262,114.0,119.0,<
0.1779415959288821,0.21014242112642678,0.28600000000000003,115.0,120.0,<
0.24600000000000002,0.21100000000000008,0.2614516408998677,116.0,121.0,<
0.03400000000000001,0.20705840407111797,0.23054835910013236,117.0,122.0,<
0.03400000000000001,0.23825922926866266,0.25400000000000006,118.0,123.0,<
0.09079917480245528,0.23985757887357326,0.26600000000000007,119.0,124.0,<
0.17724514664977653,0.21013537981698371,0.29000000000000004,120.0,125.0,<
0.25,0.2109415959288821,0.2625483591001324,121.0,126.0,<
0.03000000000000001,0.20379917480245535,0.23,122.0,127.0,<
0.03000000000000001,0.2397991748024553,0.25745164089986766,123.0,128.0,<
0.09405840407111796,0.24305840407111795,0.26945164089986773,124.0,129.0,<
0.1752976766529077,0.2076224471367774,0.29399999999999993,125.0,130.0,<
0.25409167322001824,0.2101882577364359,0.26600000000000007,126.0,131.0,<
0.026067682673617858,0.2022685078711626,0.23,127.0,132.0,<
0.02605840407111795,0.24305840407111795,0.25800000000000006,128.0,133.0,<
0.09794159592888206,0.24700000000000003,0.27054835910013236,129.0,134.0,<
0.17324514664977647,0.20305136276167493,0.2945483591001324,129.0,135.0,+
0.17730355072089446,0.2102521879592196,0.298,130.0,136.0,<
0.2591569097313625,0.2076246225643816,0.27086072500552044,131.0,137.0,<
0.02303653746152876,0.19997117145447557,0.23,132.0,138.0,<
0.0227991748024553,0.24700000000000003,0.25800000000000006,133.0,139.0,<
0.10114242112642677,0.25093231732638216,0.2740000000000001,134.0,140.0,<
0.17005840407111797,0.19900000000000007,0.298,135.0,141.0,<
0.17874077073133737,0.2117407707313374,0.30200000000000005,136.0,142.0,+
0.2620828492018259,0.20376943649639617,0.2730355042984774,136.0,143.0,<
0.26106606347418676,0.20705130046785777,0.27336452358047636,136.0,144.0,+
0.26117569027532705,0.21104583661000917,0.2740000000000001,138.0,145.0,<
0.021259229268662652,0.251,0.25800000000000006,139.0,146.0,<
0.1019346339929468,0.25396346253847124,0.27736452358047636,140.0,147.0,<
0.16759834960491066,0.19500000000000006,0.3014516408998677,141.0,148.0,<
0.18120082519754477,0.21420082519754474,0.30600000000000005,142.0,149.0,<
0.262,0.1990513627616749,0.27454835910013237,142.0,150.0,+
0.26600000000000007,0.20699295869055692,0.2705483591001324,144.0,151.0,<
