x,y,z,parentid,vid,edgetype
0.172,0.188,0.104,0.0,1.0,<
0.1765,0.19,0.112,1.0,2.0,<
0.178,0.194,0.135,1.0,3.0,+
0.185,0.166,0.115,2.0,4.0,<
0.172,0.2,0.153,3.0,5.0,<
0.191,0.152,0.129,4.0,6.0,<
0.181,0.197,0.177,4.0,7.0,+
0.1415,0.208,0.165,5.0,8.0,<
0.197,0.137,0.143,6.0,9.0,<
0.179,0.201,0.199,7.0,10.0,<
0.126,0.212,0.179,8.0,11.0,<
0.21,0.123,0.155,8.0,12.0,+
0.184,0.132,0.155,9.0,13.0,<
0.181,0.203,0.221,10.0,14.0,<
0.11,0.2155,0.194,11.0,15.0,<
0.218,0.11,0.164,13.0,16.0,<
0.184,0.206,0.236,14.0,17.0,<
0.094,0.219,0.204,14.0,18.0,+
0.115,0.216,0.208,16.0,19.0,<
0.18,0.208,0.263,16.0,20.0,+
0.221,0.207,0.244,17.0,21.0,<
0.078,0.222,0.221,17.0,22.0,+
0.088,0.187,0.203,19.0,23.0,<
0.178,0.208,0.285,20.0,24.0,<
0.24,0.208,0.256,21.0,25.0,<
0.067,0.225,0.234,22.0,26.0,<
0.086,0.175,0.201,23.0,27.0,<
0.176,0.21,0.303,24.0,28.0,<
0.259,0.208,0.268,25.0,29.0,<
0.045,0.231,0.246,25.0,30.0,+
0.042,0.211,0.232,25.0,31.0,+
0.085,0.2355,0.257,27.0,32.0,<
0.182,0.214,0.324,27.0,33.0,+
0.16,0.175,0.315,28.0,34.0,<
0.28,0.21,0.271,28.0,35.0,+
0.259,0.187,0.279,28.0,36.0,+
0.257,0.222,0.286,29.0,37.0,<
0.03,0.239,0.255,30.0,38.0,<
0.023,0.198,0.228,31.0,39.0,<
0.095,0.245,0.272,32.0,40.0,<
0.181,0.215,0.348,33.0,41.0,<
0.152,0.16,0.327,34.0,42.0,<
0.303,0.211,0.277,35.0,43.0,<
0.256,0.168,0.283,36.0,44.0,<
0.254,0.235,0.296,37.0,45.0,<
0.017,0.247,0.261,38.0,46.0,<
0.019,0.19,0.231,38.0,47.0,+
0.012,0.194,0.224,39.0,48.0,<
0.102,0.254,0.282,40.0,49.0,<
0.182,0.217,0.367,41.0,50.0,<
0.145,0.146,0.338,42.0,51.0,<
0.312,0.207,0.281,42.0,52.0,+
0.305,0.225,0.294,43.0,53.0,<
0.254,0.15,0.282,45.0,54.0,<
0.003,0.249,0.273,49.0,55.0,<
