x,y,z,parentid,vid,edgetype
0.176,0.178,0.121,0.0,1.0,<
0.173,0.184,0.12,0.0,172.0,+
0.158,0.188,0.121,1.0,2.0,<
0.1955,0.17,0.136,1.0,3.0,+
0.156,0.19,0.148,2.0,4.0,+
0.211,0.161,0.145,3.0,5.0,<
0.158,0.19,0.168,4.0,6.0,<
0.227,0.152,0.152,5.0,7.0,<
0.154,0.188,0.184,6.0,8.0,<
0.235,0.145,0.158,7.0,9.0,<
0.157,0.192,0.205,8.0,10.0,<
0.129,0.177,0.191,8.0,11.0,+
0.149,0.19,0.19,8.0,12.0,+
0.259,0.142,0.163,9.0,13.0,<
0.222,0.12,0.166,9.0,14.0,+
0.158,0.194,0.224,10.0,15.0,<
0.114,0.169,0.198,11.0,16.0,<
0.272,0.127,0.166,13.0,17.0,<
0.273,0.155,0.169,13.0,18.0,+
0.159,0.199,0.243,15.0,19.0,<
0.1,0.159,0.204,16.0,20.0,<
0.281,0.117,0.167,17.0,21.0,<
0.155,0.196,0.26,19.0,22.0,<
0.17,0.212,0.252,19.0,23.0,+
0.083,0.152,0.208,20.0,24.0,<
0.109,0.146,0.21,20.0,25.0,+
0.298,0.114,0.169,21.0,26.0,<
0.155,0.196,0.279,22.0,27.0,<
0.181,0.225,0.263,23.0,28.0,<
0.068,0.145,0.213,24.0,29.0,<
0.155,0.196,0.298,27.0,30.0,<
0.19,0.237,0.272,28.0,31.0,<
0.057,0.134,0.212,29.0,32.0,<
0.061,0.164,0.2335,29.0,33.0,+
0.155,0.195,0.317,30.0,34.0,<
0.201,0.249,0.2825,31.0,35.0,<
0.065,0.1065,0.21,32.0,36.0,+
0.034,0.128,0.213,32.0,37.0,+
0.041,0.136,0.2205,32.0,38.0,+
0.056,0.172,0.243,33.0,39.0,<
0.157,0.191,0.333,34.0,40.0,<
0.211,0.261,0.292,35.0,41.0,<
0.068,0.09,0.208,36.0,42.0,<
0.02,0.123,0.211,37.0,43.0,<
0.154,0.195,0.353,40.0,44.0,<
0.162,0.162,0.342,40.0,45.0,+
0.223,0.276,0.295,41.0,46.0,<
0.189,0.267,0.306,41.0,47.0,+
0.071,0.077,0.206,42.0,48.0,<
0.153,0.194,0.372,44.0,49.0,<
0.165,0.147,0.352,45.0,50.0,<
0.234,0.288,0.301,46.0,51.0,<
0.176,0.271,0.312,47.0,52.0,<
0.153,0.194,0.39,49.0,53.0,<
0.168,0.131,0.362,50.0,54.0,<
0.221,0.303,0.313,51.0,55.0,+
0.252,0.27,0.307,51.0,56.0,+
0.246,0.304,0.3,51.0,57.0,+
0.153,0.193,0.409,53.0,58.0,<
0.171,0.119,0.371,54.0,59.0,<
0.212,0.3155,0.322,55.0,60.0,<
0.262,0.26,0.3105,56.0,61.0,<
0.257,0.317,0.3,57.0,62.0,<
0.151,0.198,0.428,58.0,63.0,<
0.175,0.099,0.375,59.0,64.0,<
0.189,0.124,0.385,59.0,65.0,+
0.143,0.127,0.381,59.0,66.0,+
0.201,0.328,0.33,60.0,67.0,<
0.276,0.247,0.308,61.0,68.0,<
0.267,0.331,0.296,62.0,69.0,<
0.152,0.193,0.446,63.0,70.0,<
0.134,0.212,0.435,63.0,71.0,+
0.179,0.079,0.379,64.0,72.0,<
0.199,0.129,0.391,65.0,73.0,<
0.134,0.129,0.381,66.0,74.0,<
0.192,0.339,0.333,67.0,75.0,<
0.152,0.1925,0.465,70.0,76.0,<
0.122,0.224,0.446,71.0,77.0,<
0.183,0.07,0.381,72.0,78.0,<
0.164,0.072,0.387,72.0,79.0,+
0.211,0.135,0.394,73.0,80.0,<
0.152,0.192,0.484,76.0,81.0,<
0.11,0.234,0.456,77.0,82.0,<
0.185,0.045,0.38,78.0,83.0,<
0.211,0.076,0.388,78.0,84.0,+
0.185,0.06,0.384,78.0,85.0,+
0.148,0.067,0.394,79.0,86.0,<
0.153,0.191,0.501,81.0,87.0,<
0.098,0.245,0.465,82.0,88.0,<
0.188,0.028,0.377,83.0,89.0,<
0.176,0.037,0.384,83.0,90.0,+
0.191,0.041,0.384,83.0,91.0,+
0.2285,0.077,0.39,84.0,92.0,<
0.135,0.062,0.397,86.0,93.0,<
0.143,0.071,0.399,86.0,94.0,+
0.151,0.191,0.52,87.0,95.0,<
0.177,0.1855,0.511,87.0,96.0,+
0.087,0.255,0.475,88.0,97.0,<
0.192,0.013,0.3745,89.0,98.0,<
0.245,0.077,0.388,92.0,99.0,<
0.1195,0.057,0.397,93.0,100.0,<
0.152,0.19,0.539,95.0,101.0,<
0.148,0.196,0.532,95.0,102.0,+
0.192,0.182,0.521,96.0,103.0,<
0.074,0.267,0.482,97.0,104.0,<
0.075,0.244,0.487,97.0,105.0,+
0.1075,0.262,0.487,97.0,106.0,+
0.15,0.19,0.5575000000000001,101.0,107.0,<
0.206,0.178,0.531,103.0,108.0,<
0.062,0.278,0.49,104.0,109.0,<
0.068,0.229,0.49,105.0,110.0,<
0.118,0.266,0.486,106.0,111.0,<
0.151,0.19,0.576,107.0,112.0,<
0.141,0.178,0.572,107.0,113.0,+
0.221,0.174,0.541,108.0,114.0,<
0.05,0.291,0.499,109.0,115.0,<
0.151,0.191,0.595,112.0,116.0,<
0.129,0.168,0.582,113.0,117.0,<
0.232,0.169,0.551,114.0,118.0,<
0.036,0.298,0.505,115.0,119.0,<
0.056,0.3,0.511,115.0,120.0,+
0.153,0.19,0.614,116.0,121.0,<
0.116,0.157,0.592,117.0,122.0,<
0.253,0.166,0.558,118.0,123.0,<
0.22,0.153,0.562,118.0,124.0,+
0.227,0.19,0.567,118.0,125.0,+
0.227,0.18,0.564,118.0,126.0,+
0.0205,0.279,0.506,119.0,127.0,+
0.031,0.306,0.508,119.0,128.0,+
0.033,0.309,0.505,119.0,129.0,+
0.066,0.313,0.522,120.0,130.0,<
0.155,0.194,0.632,121.0,131.0,<
0.159,0.169,0.615,121.0,132.0,+
0.104,0.146,0.602,122.0,133.0,<
0.267,0.161,0.561,123.0,134.0,<
0.011,0.268,0.503,127.0,135.0,<
0.08,0.326,0.526,130.0,136.0,<
0.161,0.21,0.644,131.0,137.0,<
0.1535,0.192,0.644,131.0,138.0,+
0.16,0.167,0.607,132.0,139.0,+
0.153,0.157,0.613,132.0,140.0,+
0.096,0.138,0.609,133.0,141.0,<
0.284,0.158,0.562,134.0,142.0,<
0.086,0.332,0.524,136.0,143.0,<
0.167,0.225,0.654,137.0,144.0,<
0.159,0.158,0.606,139.0,145.0,+
0.1465,0.161,0.617,140.0,146.0,+
0.078,0.126,0.615,141.0,147.0,<
0.107,0.129,0.618,141.0,148.0,+
0.304,0.156,0.556,142.0,149.0,<
0.293,0.173,0.574,142.0,150.0,+
0.2785,0.1305,0.564,142.0,151.0,+
0.175,0.241,0.659,144.0,152.0,<
0.176,0.221,0.661,144.0,153.0,+
0.166,0.23,0.661,144.0,154.0,+
0.159,0.231,0.661,144.0,155.0,+
0.063,0.115,0.619,147.0,156.0,<
0.318,0.152,0.549,149.0,157.0,<
0.294,0.1855,0.5785,150.0,158.0,<
0.293,0.173,0.579,150.0,159.0,+
0.276,0.113,0.56,151.0,160.0,<
0.182,0.256,0.658,152.0,161.0,<
0.049,0.105,0.614,156.0,162.0,<
0.053,0.128,0.626,156.0,163.0,+
0.075,0.1,0.623,156.0,164.0,+
0.335,0.15,0.537,157.0,165.0,<
0.189,0.271,0.647,161.0,166.0,<
