x,y,z,parentid,vid,edgetype
0.167,0.191,0.113,0.0,1.0,<
0.181,0.189,0.122,1.0,2.0,<
0.19,0.194,0.1255,1.0,3.0,+
0.172,0.192,0.149,2.0,136.0,+
0.171,0.193,0.169,3.0,4.0,<
0.172,0.194,0.189,4.0,5.0,<
0.174,0.193,0.208,5.0,6.0,<
0.173,0.192,0.23,6.0,7.0,<
0.173,0.189,0.242,7.0,8.0,<
0.176,0.193,0.267,8.0,9.0,<
0.172,0.155,0.233,8.0,10.0,+
0.172,0.135,0.229,9.0,24.0,<
0.172,0.119,0.225,10.0,11.0,<
0.174,0.098,0.215,11.0,12.0,<
0.178,0.089,0.214,12.0,13.0,<
0.175,0.079,0.208,13.0,14.0,<
0.181,0.07,0.201,14.0,15.0,<
0.154,0.074,0.221,15.0,16.0,<
0.142,0.064,0.22,15.0,17.0,+
0.179,0.045,0.185,16.0,19.0,<
0.216,0.079,0.208,16.0,20.0,+
0.229,0.078,0.209,17.0,18.0,<
0.18,0.031,0.174,19.0,22.0,<
0.176,0.02,0.166,20.0,21.0,<
0.183,0.196,0.276,22.0,23.0,<
0.177,0.194,0.287,24.0,25.0,+
0.183,0.198,0.305,25.0,26.0,<
0.182,0.203,0.318,26.0,27.0,<
0.216,0.228,0.31,26.0,28.0,+
0.233,0.239,0.312,27.0,42.0,<
0.248,0.249,0.314,28.0,29.0,<
0.262,0.258,0.318,29.0,30.0,<
0.278,0.271,0.306,30.0,31.0,<
0.2485,0.267,0.322,31.0,32.0,<
0.294,0.282,0.305,31.0,33.0,+
0.276,0.302,0.322,32.0,34.0,<
0.307,0.291,0.295,34.0,35.0,+
0.311,0.255,0.308,34.0,36.0,<
0.324,0.242,0.305,34.0,37.0,+
0.267,0.312,0.323,35.0,39.0,<
0.271,0.299,0.33,35.0,40.0,+
0.291,0.3,0.332,35.0,41.0,+
0.177,0.198,0.346,37.0,38.0,<
0.174,0.196,0.366,42.0,43.0,<
0.167,0.195,0.383,43.0,44.0,<
0.171,0.196,0.405,44.0,45.0,<
0.133,0.195,0.382,44.0,46.0,+
0.114,0.193,0.384,45.0,62.0,<
0.093,0.191,0.386,46.0,47.0,<
0.079,0.189,0.388,47.0,48.0,<
0.095,0.189,0.395,48.0,49.0,<
0.097,0.163,0.397,48.0,50.0,+
0.057,0.188,0.382,49.0,52.0,<
0.083,0.213,0.401,49.0,53.0,+
0.039,0.185,0.376,50.0,51.0,+
0.022,0.189,0.375,52.0,54.0,<
0.044,0.162,0.379,54.0,55.0,<
0.0455,0.1925,0.3685,54.0,56.0,+
0.049,0.143,0.377,54.0,57.0,+
0.007,0.185,0.362,55.0,59.0,<
0.02,0.215,0.388,55.0,60.0,+
0.018,0.228,0.391,56.0,58.0,<
0.172,0.196,0.424,60.0,61.0,<
0.171,0.194,0.445,62.0,63.0,<
0.173,0.19,0.462,63.0,64.0,<
