file_name,TP,FP,FN,Precision,Recall,CD,TP_0,FP_0,FN_0,TP_1,FP_1,FN_1,TP_2,FP_2,FN_2,TP_3,FP_3,FN_3,TP_edges,FP_edges,FN_edges,Precision_edges,Recall_edges,gt_int_length_MAE,gt_int_length_MSE,gt_int_length_RMSE,gt_int_length_MAPE,gt_ph_angle_MAE,gt_ph_angle_MSE,gt_ph_angle_RMSE,gt_ph_angle_MAPE,gt_br_angle_MAE,gt_br_angle_MSE,gt_br_angle_RMSE,gt_br_angle_MAPE
Harvest_01_PotNr_80,64,8,18,0.8888888888888888,0.7804878048780488,0.020077857232320542,6,0,1,24,0,7,31,0,7,3,0,3,55,16,26,0.7746478873239436,0.6790123456790124,0.004377515199431848,3.344887124591454e-05,0.00578349991319396,9.657621159519227,20.682592579458436,500.2599484453849,22.366491643648203,9.216491376045854,13.090334221907105,226.2940213193634,15.043072203488336,20.99749077559309
Harvest_01_PotNr_95,61,11,14,0.8472222222222222,0.8133333333333334,0.01240788021540338,7,0,0,26,0,8,28,0,5,0,0,1,45,27,29,0.625,0.6081081081081081,0.014246145505349146,0.00020295266175957967,0.014246145505349146,20.064993669505842,45.72796475799714,2091.0467609086286,45.72796475799714,20.785438526362338,31.203242179373163,973.6423225046125,31.203242179373163,58.87404184787389
Harvest_01_PotNr_145,73,12,11,0.8588235294117647,0.8690476190476191,0.013092923616280394,9,0,0,27,0,5,34,0,4,3,0,2,65,19,18,0.7738095238095238,0.7831325301204819,0.02143993887186174,0.0005454405491428209,0.02335466867979122,27.874576639815327,10.805546527040107,180.42345757261435,13.43217992630438,4.905011916289098,8.919547046543428,79.8258518973793,8.934531431327516,15.959068031024376
Harvest_01_PotNr_179,65,12,10,0.8441558441558441,0.8666666666666667,0.012465329909377553,10,0,0,27,0,5,28,0,5,0,0,0,57,18,17,0.76,0.7702702702702703,,,,,,,,,,,,
Harvest_01_PotNr_256,64,39,12,0.6213592233009708,0.8421052631578947,0.01913357653813277,10,0,1,29,0,6,25,0,5,0,0,0,55,46,20,0.5445544554455446,0.7333333333333333,,,,,,,,,,,,
Harvest_01_PotNr_293,65,30,12,0.6842105263157895,0.8441558441558441,0.016116742939351083,6,0,1,30,0,6,29,0,5,0,0,0,57,37,19,0.6063829787234043,0.75,0.007598076952709226,5.773077337929112e-05,0.007598076952709226,10.854395646727465,224.8059128276421,50537.698442269415,224.8059128276421,97.7417012294096,1.100196024093023,1.2104312914300959,1.100196024093023,1.5717086058471756
Harvest_01_PotNr_373,79,11,24,0.8777777777777778,0.7669902912621359,0.011526241064086527,7,0,1,33,0,7,36,0,10,3,0,6,65,23,37,0.7386363636363636,0.6372549019607843,,,,,,,,,,,,
Harvest_01_PotNr_429,60,25,6,0.7058823529411765,0.9090909090909091,0.012277134967313277,7,0,1,24,0,3,29,0,1,0,0,1,52,32,13,0.6190476190476191,0.8,,,,,,,,,,,,
Harvest_01_PotNr_463,47,29,1,0.618421052631579,0.9791666666666666,0.011207100367702838,7,0,0,20,0,1,20,0,0,0,0,0,44,30,3,0.5945945945945946,0.9361702127659575,,,,,,,,,,,,
Harvest_01_PotNr_521,56,11,13,0.835820895522388,0.8115942028985508,0.023315079755873578,9,0,1,23,0,7,24,0,5,0,0,0,50,16,18,0.7575757575757576,0.7352941176470589,0.001035098525495548,1.0714289574830577e-06,0.001035098525495548,1.7846526301647379,190.99131391730103,36477.681991857025,190.99131391730103,79.57971413220875,17.627035614425154,310.71238455221277,17.627035614425154,26.70762971882599
Harvest_02_PotNr_135,58,19,32,0.7532467532467533,0.6444444444444445,0.02257068781546751,9,0,2,25,0,15,24,0,14,0,0,1,41,35,48,0.5394736842105263,0.4606741573033708,0.009827000647491216,9.656994172579277e-05,0.009827000647491216,21.837779216647146,,,,,,,,
Harvest_02_PotNr_237,73,41,18,0.6403508771929824,0.8021978021978022,0.023580431411237127,9,0,2,31,0,10,32,0,5,1,0,1,58,54,32,0.5178571428571429,0.6444444444444445,0.04662996062994093,0.002174353228349841,0.04662996062994093,54.22088445341969,,,,,,,,
Harvest_03_PotNr_74,86,23,56,0.7889908256880734,0.6056338028169014,0.04035482141229166,7,0,2,29,0,21,43,0,24,7,0,9,65,43,76,0.6018518518518519,0.46099290780141844,,,,,,,,,,,,
Harvest_03_PotNr_407,55,17,22,0.7638888888888888,0.7142857142857143,0.029966142987855486,8,0,1,24,0,12,23,0,8,0,0,1,40,31,36,0.5633802816901409,0.5263157894736842,,,,,,,,,,,,
